Running for 570.0 seconds (38 samples at 15.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
23:46:32   2.0   0.0   0.8  96.9   0.3    3   6208   2968   94   12   96   4.44 
23:46:47   2.1   0.0   0.9  96.9   0.2    5   5905   2826  101   14  102   4.30 
23:47:02   2.1   0.0   0.9  97.0   0.1    3   6390   3067  105   16  109   4.45 
23:47:17   1.7   0.0   0.9  97.3   0.1    2   5858   2806  101   14  100   4.23 
23:47:32   2.0   0.0   0.9  97.0   0.1    3   6268   2997   95   13   93   4.44 
23:47:47  43.5   0.0   6.9  48.6   1.0   37  52555  27757  191   14  101  31.81 
23:48:02  80.6   0.0  15.1   3.9   0.4   67  85418  49672  243   16  106  49.07 
23:48:17  42.6   0.0   7.4  44.6   5.4    3  40284  26337  236   15  101  32.12 
23:48:32  68.6   0.0  12.9  17.2   1.3   33  83128  48857  103   12   97  46.22 
23:48:47  46.3   0.0  12.6  36.2   4.9    3  88553  45118   98   14   98  40.69 
23:49:02  46.2   0.0  16.2  26.1  11.6   36  97574  47438  105   16  108  43.11 
23:49:17  53.7   0.0  19.8  20.4   6.1   71  97877  51256  100   14   97  46.11 
23:49:32  36.3   0.0  16.8  42.8   4.1   10 114085  50654   90   12   91  39.08 
23:49:47  26.3   0.0  12.5  57.0   4.2    5 101121  46166  109   16  106  32.09 
23:50:02  33.3   0.0  12.7  48.6   5.4    8 101132  46883  112   20  111  36.31 
23:50:17  40.1   0.0  15.6  38.8   5.6   40 106402  49044  111   20  109  40.41 
23:50:32  52.0   0.0  18.5  25.7   3.8   51 105642  50296   95   15   99  45.41 
23:50:47  48.0   0.0  15.5  32.7   3.8   14  98953  45173  103   16   99  43.48 
23:51:02  51.1   0.0  18.6  26.2   4.1   12 106158  47233  100   20  109  45.19 
23:51:17  40.8   0.0  15.9  39.3   3.9   20 104085  46254  108   16  107  41.37 
23:51:32  43.3   0.0  19.0  33.9   3.7   11 111357  50093  103   14   95  43.62 
23:51:47  35.1   0.0  15.6  46.1   3.3   31 105519  46418  105   18  105  39.22 
23:52:02  33.7   0.0  14.3  48.0   4.1   20 101982  44745  106   16  105  37.74 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
23:52:17  39.3   0.0  13.4  43.1   4.2    9  98303  45024   95   19  112  39.24 
23:52:32  32.2   0.0  12.8  50.7   4.3    3  95671  44593  102   13   95  34.85 
23:52:47  37.4   0.0  14.8  42.6   5.2   34 100891  46127  124   17  105  38.80 
23:53:02  34.6   0.0  13.0  47.9   4.5    6  94802  45604  103   18  113  35.62 
23:53:17  32.8   0.0  11.2  50.7   5.4   23  91124  44696  109   14  102  34.07 
23:53:32  27.7   0.0  10.5  56.5   5.2    5  85483  42292  110   18  109  31.02 
23:53:47   6.3   0.0   2.4  87.0   4.3    2  22439  11723  101   14   98  11.24 
23:54:02   2.7   0.0   1.3  95.3   0.8    2   9603   4487  112   19  105   5.37 
23:54:17   2.4   0.0   1.3  96.2   0.1    2   9192   4295  107   19  114   5.05 
23:54:32   2.6   0.0   1.4  95.6   0.4    2   9330   4322   96   12   92   5.50 
23:54:47   4.5   0.0   1.2  94.3   0.1    2   8949   4251  106   19  439   7.94 
23:55:02   2.5   0.0   1.3  96.1   0.1    2   8764   4121  108   16  124   4.95 
23:55:17   2.7   0.0   1.0  96.2   0.1    3   7848   3712  109   17  113   5.64 
23:55:32   2.3   0.0   1.0  95.8   0.8    2   6464   3143  114   30  106   4.79 
23:55:47   2.2   0.0   1.0  96.7   0.2    4   6220   3012   99   14  102   4.67 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average  28.0   0.0   9.4  59.6   3.0 15.5 62829.9 30143.7 113.4 16.1 112.4  26.94 
 GeoMean  14.8   0.0   5.5  50.6   1.3  7.8 37424.2 18053.1 110.2 15.8 107.4  18.71 
  StdDev  21.6   0.0   6.8  29.4   2.6 18.3 43574.6 20471.7 33.5  3.3 54.1  16.90 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   1.7   0.0   0.8   3.9   0.1  2.0 5858.3 2806.4 90.0 12.0 91.0   4.23 
 Maximum  80.6   0.0  19.8  97.3  11.6 71.0 114084.6 51255.9 243.0 30.0 439.0  49.07 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  26.94 Watts on average with standard deviation 16.90 
Note: power read from RAPL domains: dram, package-0, core.
These readings do not cover all the hardware in this device.
