Running for 570.0 seconds (38 samples at 15.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:46:32  28.6   0.0   0.2  71.2   0.0   10   4000   4470   56   12   56  87.05 
21:46:47  28.6   0.0   0.2  71.2   0.0   10   3993   4375   86   13   88  86.89 
21:47:02  28.6   0.0   0.2  71.2   0.0   10   3753   4456   61   12   63  86.94 
21:47:17  28.5   0.0   0.2  71.3   0.0   10   3902   4402   83   11   82  86.84 
21:47:32  28.6   0.0   0.2  71.2   0.0   10   3950   4426   59   12   61  86.72 
21:47:47  40.7   0.0   0.7  58.6   0.0   14  16070  13449   91   13   86  91.84 
21:48:02  38.8   0.0   0.9  60.3   0.0   11  22769  18946   60   12   60  89.53 
21:48:17  32.8   0.0   0.6  66.6   0.0   10  12790  12412   85   11   83  87.06 
21:48:32  36.4   0.0   1.1  62.5   0.0   16  21937  19462   66   12   64  88.15 
21:48:47  34.8   0.0   1.2  64.1   0.0   11  24605  22930   90   13   87  87.63 
21:49:02  33.4   0.0   1.1  65.5   0.0   12  24149  23150   68   12   66  87.05 
21:49:17  34.6   0.0   1.3  64.1   0.0   11  28687  28809   82   12   74  88.73 
21:49:32  33.6   0.0   1.3  65.1   0.0   13  26869  28835   62   12   61  87.29 
21:49:47  32.5   0.0   0.9  66.6   0.0   11  19646  21161   64   12   66  86.71 
21:50:02  33.9   0.0   1.1  64.9   0.0   11  24396  23795   88   13   86  87.93 
21:50:17  35.7   0.0   1.6  62.7   0.0   11  34709  32139   55   12   54  89.18 
21:50:32  33.8   0.0   1.6  64.7   0.0   10  31542  28430   84   13   83  87.63 
21:50:47  32.2   0.0   0.9  66.8   0.0   13  17336  16989   63   12   64  86.45 
21:51:02  31.6   0.0   0.6  67.8   0.0   10  12335  12869   87   14   88  85.95 
21:51:17  32.2   0.0   0.9  66.9   0.0   13  20142  20089   61   10   58  86.21 
21:51:32  34.2   0.0   1.1  64.6   0.0   11  24268  24993   90   14   87  87.66 
21:51:47  32.6   0.0   1.1  66.2   0.0   11  23261  24586   64   12   66  86.78 
21:52:02  31.2   0.0   0.9  67.9   0.0   10  19000  20256   82   13   83  86.06 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
21:52:17  30.0   0.0   0.4  69.6   0.0   11   7907   7135   59   10   58  87.83 
21:52:32  30.3   0.0   0.5  69.2   0.0   11  11108   9748   90   13   88  86.41 
21:52:47  33.2   0.0   1.2  65.6   0.0   14  27017  23166   63   12   62  87.01 
21:53:02  32.8   0.0   0.9  66.3   0.0   10  21450  18205   84   13   86  87.00 
21:53:17  31.3   0.0   0.6  68.1   0.0   11  13270  10046   59   10   58  87.25 
21:53:32  30.5   0.0   0.6  68.9   0.0   11  14373  12366   64   12   65  86.68 
21:53:47  29.2   0.0   0.3  70.5   0.0   10   7167   6937   88   13   88  86.20 
21:54:02  28.7   0.0   0.2  71.1   0.0   10   3755   4364   64   12   66  86.85 
21:54:17  28.6   0.0   0.2  71.2   0.0   11   4060   4502   84   12   80  87.30 
21:54:32  28.7   0.0   0.2  71.1   0.0   10   4001   4527   58   12   63  86.98 
21:54:47  28.7   0.0   0.2  71.2   0.0   10   4053   4650   88   13   95  87.63 
21:55:02  28.6   0.0   0.2  71.2   0.0   10   3713   4391   66   14   67  88.25 
21:55:17  28.6   0.0   0.2  71.2   0.0   10   3967   4506   86   11   84  87.79 
21:55:32  28.7   0.0   0.2  71.1   0.0   10   3940   4500   74   26   68  87.68 
21:55:47  28.6   0.0   0.2  71.2   0.0   10   4134   4608   92   15   96  87.04 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average  31.7   0.0   0.7  67.6   0.0 11.0 14684.9 14186.3 73.8 12.6 73.4  87.37 
 GeoMean  31.6   0.0   0.5  67.5   0.0 10.9 11043.5 11082.7 72.7 12.5 72.4  87.37 
  StdDev   3.0   0.0   0.4   3.4   0.0  1.4 9600.7 8998.6 12.7  2.4 12.5   1.08 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum  28.5   0.0   0.2  58.6   0.0 10.0 3713.1 4363.7 55.0 10.0 54.0  85.95 
 Maximum  40.7   0.0   1.6  71.3   0.0 16.0 34709.1 32138.7 92.0 26.0 96.0  91.84 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  87.37 Watts on average with standard deviation 1.08  
Note: power read from RAPL domains: dram, package-0, dram, package-1.
These readings do not cover all the hardware in this device.
