Linux 5.15.0-119-generic (GreenLab-STF) 	04-10-24 	_x86_64_	(8 CPU)

23:46:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:46:32        all      1.98      0.00      0.93      0.25      0.00     96.83
23:46:47        all      2.05      0.00      0.92      0.18      0.00     96.85
23:47:02        all      2.11      0.00      0.95      0.08      0.00     96.86
23:47:17        all      1.72      0.00      1.00      0.06      0.00     97.22
23:47:32        all      2.03      0.00      0.98      0.08      0.00     96.91
23:47:47        all     40.76      0.00     12.81      0.91      0.00     45.52
23:48:02        all     67.19      0.00     29.25      0.34      0.00      3.21
23:48:17        all     38.78      0.00     15.84      4.87      0.00     40.52
23:48:32        all     59.26      0.00     24.73      1.15      0.00     14.86
23:48:47        all     38.83      0.00     26.70      4.11      0.00     30.36
23:49:02        all     36.54      0.00     33.69      9.16      0.00     20.62
23:49:17        all     41.37      0.00     38.29      4.66      0.00     15.68
23:49:32        all     28.58      0.00     34.32      3.24      0.00     33.86
23:49:47        all     21.89      0.00     27.36      3.48      0.00     47.28
23:50:02        all     27.67      0.00     27.51      4.46      0.00     40.36
23:50:17        all     31.51      0.00     33.66      4.41      0.00     30.41
23:50:32        all     39.97      0.00     37.38      2.89      0.00     19.75
23:50:47        all     35.84      0.00     36.83      2.86      0.00     24.48
23:51:02        all     37.77      0.00     39.82      3.02      0.00     19.39
23:51:17        all     30.16      0.00     37.99      2.88      0.00     28.97
23:51:32        all     31.64      0.00     40.83      2.72      0.00     24.81
23:51:47        all     25.86      0.00     37.83      2.43      0.00     33.88
23:52:02        all     25.31      0.00     35.50      3.07      0.00     36.12
23:52:17        all     30.79      0.00     32.06      3.30      0.00     33.85
23:52:32        all     26.19      0.00     29.11      3.48      0.00     41.22
23:52:47        all     29.92      0.00     32.05      4.11      0.00     33.91
23:53:02        all     28.65      0.00     27.80      3.71      0.00     39.84
23:53:17        all     28.73      0.00     22.30      4.68      0.00     44.28
23:53:32        all     24.18      0.00     21.77      4.56      0.00     49.48
23:53:47        all      6.15      0.00      4.40      4.23      0.00     85.22
23:54:02        all      2.68      0.00      1.40      0.73      0.00     95.20
23:54:17        all      2.37      0.00      1.35      0.11      0.00     96.17
23:54:32        all      2.61      0.00      1.51      0.36      0.00     95.52
23:54:47        all      4.47      0.00      1.20      0.04      0.00     94.28
23:55:02        all      2.50      0.00      1.33      0.11      0.00     96.06
23:55:17        all      2.74      0.00      1.08      0.09      0.00     96.09
23:55:32        all      2.24      0.00      1.10      0.83      0.00     95.83
23:55:47        all      2.16      0.00      1.06      0.24      0.00     96.55
Average:        all     22.72      0.00     19.77      2.41      0.00     55.09
