Linux 5.15.0-122-generic (gl5) 	10/04/2024 	_x86_64_	(32 CPU)

09:46:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:46:32 PM     all     28.57      0.00      0.22      0.00      0.00     71.21
09:46:47 PM     all     28.60      0.00      0.20      0.00      0.00     71.20
09:47:02 PM     all     28.62      0.00      0.20      0.00      0.00     71.17
09:47:17 PM     all     28.52      0.00      0.21      0.00      0.00     71.27
09:47:32 PM     all     28.61      0.00      0.21      0.00      0.00     71.17
09:47:47 PM     all     40.62      0.00      0.90      0.00      0.00     58.48
09:48:02 PM     all     38.55      0.00      1.48      0.00      0.00     59.97
09:48:17 PM     all     32.69      0.00      0.88      0.00      0.00     66.43
09:48:32 PM     all     36.20      0.00      1.74      0.00      0.00     62.06
09:48:47 PM     all     34.40      0.00      2.25      0.00      0.00     63.35
09:49:02 PM     all     33.04      0.00      2.29      0.00      0.00     64.67
09:49:17 PM     all     34.16      0.00      2.60      0.00      0.00     63.24
09:49:32 PM     all     33.00      0.00      3.11      0.00      0.00     63.89
09:49:47 PM     all     32.15      0.00      2.00      0.00      0.00     65.85
09:50:02 PM     all     33.54      0.00      2.30      0.00      0.00     64.16
09:50:17 PM     all     35.11      0.00      3.21      0.00      0.00     61.68
09:50:32 PM     all     33.34      0.00      2.80      0.00      0.00     63.86
09:50:47 PM     all     32.02      0.00      1.58      0.00      0.00     66.39
09:51:02 PM     all     31.49      0.00      1.03      0.00      0.00     67.48
09:51:17 PM     all     31.83      0.00      2.06      0.00      0.00     66.12
09:51:32 PM     all     33.58      0.00      3.01      0.00      0.00     63.41
09:51:47 PM     all     32.15      0.00      2.62      0.00      0.00     65.23
09:52:02 PM     all     30.85      0.00      1.95      0.00      0.00     67.20
09:52:17 PM     all     29.96      0.00      0.51      0.00      0.00     69.54
09:52:32 PM     all     30.20      0.00      0.84      0.00      0.00     68.96
09:52:47 PM     all     32.84      0.00      2.31      0.00      0.00     64.84
09:53:02 PM     all     32.53      0.00      1.66      0.00      0.00     65.82
09:53:17 PM     all     31.21      0.00      0.85      0.00      0.00     67.94
09:53:32 PM     all     30.38      0.00      1.01      0.00      0.00     68.61
09:53:47 PM     all     29.13      0.00      0.46      0.00      0.00     70.42
09:54:02 PM     all     28.72      0.00      0.18      0.00      0.00     71.10
09:54:17 PM     all     28.63      0.00      0.22      0.00      0.00     71.15
09:54:32 PM     all     28.68      0.00      0.23      0.00      0.00     71.08
09:54:47 PM     all     28.65      0.00      0.21      0.00      0.00     71.14
09:55:02 PM     all     28.62      0.00      0.19      0.00      0.00     71.19
09:55:17 PM     all     28.62      0.00      0.19      0.00      0.00     71.20
09:55:32 PM     all     28.70      0.00      0.23      0.00      0.00     71.06
09:55:47 PM     all     28.60      0.00      0.22      0.00      0.00     71.18
Average:        all     31.50      0.00      1.27      0.00      0.00     67.23
