Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,9.344831596169652
45,8.262204401473047
60,1.374292737206632
75,2.0372844963974606
90,2.3722057521623654
105,2.9987582848405383
120,2.933150194503045
135,4.790200435311017
150,2.325648174983563
165,2.8706290330626465
180,2.6902335726533257
195,2.733585778584834
210,3.522531559623161
225,2.4994377035961692
240,1.084625218594011
255,4.200162396910442
270,2.1639219064057844
285,3.191349995996249
300,1.7449293878342218
315,3.366673738536227
330,3.020502698936233
345,2.045172872787615
360,5.976513423585254
375,1.9997049719027025
390,1.1208864865092978
405,1.2273749587833653
420,2.609637217069735
435,2.845946483622007
450,1.56367906542322
465,3.8240899910918302
480,1.256773993175827
495,2.4420887674228373
510,1.435942856132667
525,0.4901356349583882
540,1.1656462179704876
555,2.534502699680263
570,3.0401582617710554
585,1.495907492587129
